onset	duration	trial_type	food_name	frequency	healthy	wtp
7.4	4.87	non-upf	Popcorn1.jpg	27.78	-56.93	-0.25
12.27	5.51	auction	Popcorn1.jpg	n/a	n/a	n/a
22.45	4.91	upf	Hot Dog1.jpg	-222.22	-154.93	-0.75
27.35	7.1	auction	Hot Dog1.jpg	n/a	n/a	n/a
39.51	4.91	upf	Chex Mix2.jpg	-222.22	-329.93	-0.49
44.42	8.92	auction	Chex Mix2.jpg	n/a	n/a	n/a
60.59	4.91	non-upf	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
65.5	8.5	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
77.05	4.92	non-upf	Harboiled Eggs1.jpg	527.78	367.07	-0.11
81.97	9.16	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
98.62	4.92	upf	Chicken Nuggets1.jpg	27.78	-198.93	-0.21
103.54	7.71	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
113.42	4.91	upf	Veggie Straws2.jpg	-222.22	-312.93	-0.49
118.34	10.46	auction	Veggie Straws2.jpg	n/a	n/a	n/a
133.66	4.93	non-upf	Mini Cheese Wheels1.jpg	27.78	-70.93	0.04
138.59	9.7	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
153.85	4.92	non-upf	Oatmeal and Honey1.jpg	27.78	444.07	-0.29
158.77	9.65	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
172.83	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	-222.22	141.07	0.53
177.75	8.65	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
195.52	4.92	upf	Pop-Tarts1.jpg	-222.22	-223.93	-0.59
200.44	4.64	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
209.87	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	27.78	-38.93	0.71
214.79	3.24	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
227.61	4.91	non-upf	Bananas and Craisins1.jpg	27.78	121.07	0.05
232.52	5.67	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
244.43	4.91	upf	Frosted Mini Wheats1.jpg	-222.22	-140.93	-1.57
249.34	7.82	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
261.32	4.91	upf	Cheerios and Milk1.jpg	27.78	147.07	0.57
266.24	9.49	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
280.01	4.92	non-upf	Baked Sweet Potato1.jpg	277.78	292.07	0.45
284.92	5.67	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
296.67	4.92	non-upf	Buttered Pasta1.jpg	277.78	-86.93	1.06
301.58	9.61	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
314.09	4.91	upf	Chocolate Chip Cookies1.jpg	-222.22	-353.93	0.58
319	4.08	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
332.5	4.92	upf	Fruit Chews1.jpg	-222.22	-95.93	-1.92
337.42	7.84	auction	Fruit Chews1.jpg	n/a	n/a	n/a
347.86	4.91	non-upf	Pepper Jack Cheese1.jpg	277.78	-265.93	0.63
352.77	3.64	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
363.71	4.91	non-upf	Trail Mix with Peanuts1.jpg	27.78	249.07	0.54
368.62	8.54	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
380.2	4.92	upf	Hot Pocket1.jpg	-222.22	-176.93	-0.91
385.12	3.8	auction	Hot Pocket1.jpg	n/a	n/a	n/a
400.37	4.92	upf	Animal Crackers1.jpg	27.78	120.07	-1.38
405.29	5.05	auction	Animal Crackers1.jpg	n/a	n/a	n/a
415.75	4.92	non-upf	Cheddar Cheese1.jpg	277.78	-28.93	0.7
420.67	5.2	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
435.24	4.91	non-upf	Apples and Pecans1.jpg	-222.22	376.07	-0.15
440.15	4.82	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
452.71	4.92	upf	Peanut Butter and Jelly Sandwich1.jpg	27.78	166.07	0.32
457.63	4.62	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
472.94	4.91	upf	Grilled Cheese1.jpg	27.78	-145.93	0.96
477.85	5.2	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
489.4	4.92	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	277.78	259.07	2.01
494.32	6.47	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
