onset	duration	trial_type	food_name	frequency	healthy	wtp
8.1	4.87	upf	Hot Pocket1.jpg	-223.21	-269.86	-0.73
12.97	4.98	auction	Hot Pocket1.jpg	n/a	n/a	n/a
25.57	4.89	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	276.79	294.14	2.67
30.46	5.88	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
46.04	4.91	non-upf	Mini Cheese Wheels1.jpg	-223.21	34.14	0.64
50.95	4.87	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
60.86	4.91	upf	Animal Crackers1.jpg	-223.21	-105.86	-1.59
65.77	4.34	auction	Animal Crackers1.jpg	n/a	n/a	n/a
80.73	4.91	upf	Peanut Butter and Jelly Sandwich1.jpg	26.79	39.14	1.19
85.64	4.75	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
94.94	4.92	non-upf	Baked Potato and Chicken1.jpg	276.79	151.14	1.73
99.85	3.56	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
110	4.92	non-upf	Cheddar Cheese1.jpg	26.79	52.14	-0.65
114.92	8.47	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
127.35	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	26.79	109.14	0.26
132.27	2.91	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
140.44	4.91	upf	Veggie Straws2.jpg	26.79	63.14	0.42
145.35	10.76	auction	Veggie Straws2.jpg	n/a	n/a	n/a
161.01	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	-223.21	33.14	-1.56
165.94	8.57	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
180.21	4.91	non-upf	Apples and Pecans1.jpg	276.79	301.14	1.07
185.12	9.15	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
198.6	4.92	upf	Hot Dog1.jpg	-223.21	-90.86	0.53
203.52	4.98	auction	Hot Dog1.jpg	n/a	n/a	n/a
213.73	4.91	upf	Chex Mix2.jpg	-223.21	40.14	0.27
218.64	8.79	auction	Chex Mix2.jpg	n/a	n/a	n/a
234.73	4.92	non-upf	Pepper Jack Cheese1.jpg	26.79	-15.86	-1.95
239.65	8.22	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
255.83	4.92	non-upf	Baked Sweet Potato1.jpg	276.79	129.14	0.99
260.75	6.46	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
272.94	4.91	upf	Chocolate Chip Cookies1.jpg	-223.21	-341.86	-2.33
277.85	3.5	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
290.11	4.91	upf	Frosted Mini Wheats1.jpg	26.79	122.14	-1.07
295.02	6.49	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
308.65	4.92	non-upf	Oatmeal and Honey1.jpg	526.79	182.14	-1.6
313.57	7.26	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
331.38	4.91	non-upf	Trail Mix with Peanuts1.jpg	26.79	125.14	1.02
336.29	3.71	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
344.14	4.92	upf	Chicken Nuggets1.jpg	-223.21	-218.86	0.89
349.05	3.65	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
361.51	4.91	upf	Fruit Chews1.jpg	-223.21	-515.86	-0.66
366.42	7.47	auction	Fruit Chews1.jpg	n/a	n/a	n/a
379.44	4.91	non-upf	Buttered Pasta1.jpg	26.79	-256.86	-2.17
384.35	5.45	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
398.27	4.92	non-upf	Popcorn1.jpg	26.79	123.14	-1.3
403.19	6.26	auction	Popcorn1.jpg	n/a	n/a	n/a
413.3	4.92	upf	Pop-Tarts1.jpg	-223.21	-488.86	0.48
418.22	4.4	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
434.12	4.92	upf	Cheerios and Milk1.jpg	26.79	56.14	-0.84
439.04	4.49	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
447.18	4.92	non-upf	Harboiled Eggs1.jpg	276.79	276.14	1.37
452.1	10.3	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
473.19	4.91	non-upf	Bananas and Craisins1.jpg	26.79	127.14	1.79
478.1	4.52	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
486.7	4.91	upf	Grilled Cheese1.jpg	26.79	46.14	1.15
491.62	3.99	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
