onset	duration	trial_type	food_name	frequency	healthy	wtp
2.21	4.79	upf	Chicken Nuggets1.jpg	-157.41	-265	1.6
7	11.35	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
21.27	4.83	non-upf	Popcorn1.jpg	-157.41	248	-1.39
26.1	3.96	auction	Popcorn1.jpg	n/a	n/a	n/a
36.03	4.83	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	-157.41	175	2.48
40.86	9.69	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
56.18	4.86	upf	Deli Turkey and Mashed Potatoes1.jpg	-157.41	109	2.38
61.05	7.85	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
79.63	4.85	upf	Chocolate Chip Cookies1.jpg	-157.41	-270	1.64
84.48	5.57	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
97.3	4.85	non-upf	Buttered Pasta1.jpg	-157.41	44	-1.13
102.15	5.2	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
115.35	4.84	non-upf	Baked Sweet Potato1.jpg	-157.41	370	-1.94
120.19	6.64	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
131.46	4.85	upf	Hot Pocket1.jpg	-157.41	-360	-1.09
136.31	5.9	auction	Hot Pocket1.jpg	n/a	n/a	n/a
150.34	4.85	upf	Frosted Mini Wheats1.jpg	-157.41	52	-1.38
155.18	7.75	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
164.94	4.85	non-upf	Apples and Pecans1.jpg	342.59	444	0.56
169.78	2.8	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
180.19	4.86	non-upf	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
185.05	11.32	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
202.16	4.85	upf	Peanut Butter and Jelly Sandwich1.jpg	92.59	-136	-0.69
207.01	4.56	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
215.04	4.84	upf	Chex Mix2.jpg	-157.41	-34	-0.57
219.88	12.92	auction	Chex Mix2.jpg	n/a	n/a	n/a
235.1	4.84	non-upf	Oatmeal and Honey1.jpg	592.59	248	0.56
239.94	3.32	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
253.36	4.84	non-upf	Cheddar Cheese1.jpg	-157.41	-121	-0.89
258.2	9.13	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
268.86	4.86	upf	Pop-Tarts1.jpg	-157.41	-342	-0.36
273.72	9.54	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
292.84	4.86	upf	Fruit Chews1.jpg	-157.41	-427	-1.28
297.7	5.99	auction	Fruit Chews1.jpg	n/a	n/a	n/a
307.99	4.85	non-upf	Pepper Jack Cheese1.jpg	-157.41	-29	-0.57
312.84	9.71	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
330.32	4.85	non-upf	Trail Mix with Peanuts1.jpg	592.59	257	0.31
335.17	7.08	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
345.2	4.83	upf	Grilled Cheese1.jpg	-157.41	-307	2.02
350.03	4.46	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
362.32	4.84	upf	Cheerios and Milk1.jpg	592.59	31	-0.15
367.16	8.45	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
382.99	4.83	non-upf	Bananas and Craisins1.jpg	-157.41	424	1.24
387.82	6.67	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
403.46	4.86	non-upf	Harboiled Eggs1.jpg	342.59	335	-0.93
408.32	5.61	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
418.36	4.83	upf	Veggie Straws2.jpg	-157.41	-261	-1.54
423.19	10.39	auction	Veggie Straws2.jpg	n/a	n/a	n/a
441.43	4.85	upf	Animal Crackers1.jpg	-157.41	-227	-1.41
446.28	8.1	auction	Animal Crackers1.jpg	n/a	n/a	n/a
459.84	4.84	non-upf	Baked Potato and Chicken1.jpg	592.59	260	3.06
464.68	3.66	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
473.65	4.86	non-upf	Mozzarella Cheese Sticks1.jpg	-157.41	-136	-1.12
478.5	10.53	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
493.97	4.85	upf	Hot Dog1.jpg	-157.41	-82	0.56
498.81	2.18	auction	Hot Dog1.jpg	n/a	n/a	n/a
