onset	duration	trial_type	food_name	frequency	healthy	wtp
8.08	4.88	upf	Peanut Butter and Jelly Sandwich1.jpg	-392.86	-366.43	0.11
12.96	4.18	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
25.54	4.9	non-upf	Buttered Pasta1.jpg	107.14	23.57	0.83
30.44	6.49	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
46.04	4.91	non-upf	Apples and Pecans1.jpg	-392.86	345.57	0.22
50.94	5.44	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
60.85	4.91	upf	Chex Mix2.jpg	-392.86	-349.43	0.27
65.76	4.77	auction	Chex Mix2.jpg	n/a	n/a	n/a
80.71	4.91	upf	Hot Dog1.jpg	-142.86	-314.43	1.05
85.63	6.29	auction	Hot Dog1.jpg	n/a	n/a	n/a
94.91	4.92	non-upf	Harboiled Eggs1.jpg	357.14	408.57	-0.81
99.83	4.75	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
109.98	4.92	non-upf	Baked Sweet Potato1.jpg	107.14	191.57	0.84
114.89	7.95	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
127.33	4.91	upf	Hot Pocket1.jpg	-142.86	-153.43	-0.88
132.24	4.89	auction	Hot Pocket1.jpg	n/a	n/a	n/a
140.41	4.92	upf	Pop-Tarts1.jpg	-392.86	-244.43	-1.04
145.33	10.64	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
161	4.91	non-upf	Trail Mix with Peanuts1.jpg	107.14	136.57	0.38
165.91	9.47	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
180.18	4.91	non-upf	Popcorn1.jpg	-142.86	-227.43	0.96
185.09	10.09	auction	Popcorn1.jpg	n/a	n/a	n/a
198.58	4.91	upf	Animal Crackers1.jpg	-392.86	-398.43	-0.41
203.49	4.59	auction	Animal Crackers1.jpg	n/a	n/a	n/a
213.69	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	-142.86	197.57	0.48
218.61	10.28	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
234.71	4.91	non-upf	Baked Potato and Chicken1.jpg	357.14	322.57	0.53
239.63	7.84	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
255.79	4.92	non-upf	Pepper Jack Cheese1.jpg	357.14	95.57	-0.41
260.71	5.9	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
272.89	4.91	upf	Cheerios and Milk1.jpg	607.14	456.57	0.35
277.81	3.94	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
290.06	4.91	upf	Frosted Mini Wheats1.jpg	357.14	60.57	-0.4
294.98	4.53	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
308.62	4.91	non-upf	Bananas and Craisins1.jpg	357.14	456.57	0.29
313.53	7.19	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
331.33	4.91	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	107.14	149.57	0.49
336.24	3.85	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
344.1	4.91	upf	Veggie Straws2.jpg	107.14	182.57	-0.06
349.01	3.44	auction	Veggie Straws2.jpg	n/a	n/a	n/a
361.46	4.92	upf	Fruit Chews1.jpg	357.14	-222.43	0.05
366.37	7.03	auction	Fruit Chews1.jpg	n/a	n/a	n/a
379.38	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	-142.86	-269.43	-1.07
384.31	5.29	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
398.24	4.92	non-upf	Oatmeal and Honey1.jpg	357.14	149.57	0.44
403.16	5.91	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
413.27	4.91	upf	Grilled Cheese1.jpg	-392.86	-194.43	0.56
418.18	5.6	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
434.08	4.92	upf	Chicken Nuggets1.jpg	107.14	-271.43	-0.41
439	3.15	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
447.14	4.92	non-upf	Mini Cheese Wheels1.jpg	-392.86	37.57	-1.14
452.06	9.99	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
473.14	4.92	non-upf	Cheddar Cheese1.jpg	-142.86	73.57	-0.87
478.06	3.99	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
486.66	4.91	upf	Chocolate Chip Cookies1.jpg	-142.86	-276.43	-0.41
491.57	3.32	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
