onset	duration	trial_type	food_name	frequency	healthy	wtp
2.13	4.88	upf	Fruit Chews1.jpg	357.14	-222.43	-0.79
7.01	11.65	auction	Fruit Chews1.jpg	n/a	n/a	n/a
21.18	4.9	non-upf	Cheddar Cheese1.jpg	-142.86	73.57	-2.12
26.08	4.67	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
35.9	4.91	non-upf	Buttered Pasta1.jpg	107.14	23.57	0.49
40.81	9.2	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
56.01	4.9	upf	Grilled Cheese1.jpg	-392.86	-194.43	1.09
60.92	7.66	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
79.39	4.92	upf	Pop-Tarts1.jpg	-392.86	-244.43	-0.91
84.31	3.57	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
97.02	4.92	non-upf	Mini Cheese Wheels1.jpg	-392.86	37.57	-0.36
101.94	3.78	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
115.05	4.91	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	107.14	149.57	1.2
119.96	7.3	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
131.14	4.9	upf	Frosted Mini Wheats1.jpg	357.14	60.57	0.47
136.04	4.24	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
149.96	4.91	upf	Deli Turkey and Mashed Potatoes1.jpg	-142.86	197.57	0.99
154.88	5.74	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
164.53	4.92	non-upf	Oatmeal and Honey1.jpg	357.14	149.57	0.12
169.44	3.1	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
179.77	4.9	non-upf	Bananas and Craisins1.jpg	357.14	456.57	0.3
184.68	7.92	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
201.7	4.92	upf	Chicken Nuggets1.jpg	107.14	-271.43	-0.38
206.61	2	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
214.53	4.92	upf	Peanut Butter and Jelly Sandwich1.jpg	-392.86	-366.43	0.14
219.45	10.67	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
234.55	4.91	non-upf	Apples and Pecans1.jpg	-392.86	345.57	0.12
239.46	4.35	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
252.78	4.91	non-upf	Popcorn1.jpg	-142.86	-227.43	0.99
257.69	7.18	auction	Popcorn1.jpg	n/a	n/a	n/a
268.25	4.9	upf	Veggie Straws2.jpg	107.14	182.57	-0.36
273.16	7.81	auction	Veggie Straws2.jpg	n/a	n/a	n/a
292.2	4.91	upf	Chex Mix2.jpg	-392.86	-349.43	0.2
297.11	5.48	auction	Chex Mix2.jpg	n/a	n/a	n/a
307.31	4.92	non-upf	Baked Potato and Chicken1.jpg	357.14	322.57	0.45
312.22	8.06	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
329.59	4.93	non-upf	Baked Sweet Potato1.jpg	107.14	191.57	0.38
334.52	5.67	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
344.44	4.93	upf	Animal Crackers1.jpg	-392.86	-398.43	-0.36
349.37	2.6	auction	Animal Crackers1.jpg	n/a	n/a	n/a
361.54	4.95	upf	Hot Dog1.jpg	-142.86	-314.43	1.08
366.49	8.56	auction	Hot Dog1.jpg	n/a	n/a	n/a
382.17	4.94	non-upf	Harboiled Eggs1.jpg	357.14	408.57	-0.96
387.11	5.17	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
402.66	4.91	non-upf	Mozzarella Cheese Sticks1.jpg	-142.86	-269.43	-1.23
407.57	4.64	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
417.5	4.92	upf	Hot Pocket1.jpg	-142.86	-153.43	-0.47
422.43	10.11	auction	Hot Pocket1.jpg	n/a	n/a	n/a
440.57	4.89	upf	Cheerios and Milk1.jpg	607.14	456.57	0.26
445.46	5.63	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
458.92	4.94	non-upf	Pepper Jack Cheese1.jpg	357.14	95.57	-0.6
463.86	2.6	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
472.7	4.92	non-upf	Trail Mix with Peanuts1.jpg	107.14	136.57	0.24
477.62	9.25	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
493	4.9	upf	Chocolate Chip Cookies1.jpg	-142.86	-276.43	0.03
497.9	3.58	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
