onset	duration	trial_type	food_name	frequency	healthy	wtp
4.86	4.88	non-upf	Mozzarella Cheese Sticks1.jpg	-92.59	312.33	-0.28
9.74	7.86	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
22.88	4.89	upf	Chex Mix2.jpg	-92.59	-129.67	-0.19
27.78	7.42	auction	Chex Mix2.jpg	n/a	n/a	n/a
45.51	4.91	upf	Chocolate Chip Cookies1.jpg	157.41	-452.67	1.35
50.43	4.25	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
62.25	4.91	non-upf	Harboiled Eggs1.jpg	n/a	n/a	n/a
67.16	6.85	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
76.14	4.9	non-upf	Bananas and Craisins1.jpg	407.41	302.33	0.92
81.04	9.82	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
97.23	4.91	upf	Animal Crackers1.jpg	-92.59	57.33	-0.48
102.14	4.66	auction	Animal Crackers1.jpg	n/a	n/a	n/a
116.06	4.92	upf	Hot Pocket1.jpg	-92.59	-318.67	-0.05
120.98	5.57	auction	Hot Pocket1.jpg	n/a	n/a	n/a
131.44	4.91	non-upf	Pepper Jack Cheese1.jpg	-92.59	190.33	-1.03
136.35	4.28	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
144.58	4.91	non-upf	Apples and Pecans1.jpg	157.41	373.33	1.21
149.49	10.5	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
168.56	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	-92.59	-129.67	-0.33
173.48	5.67	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
188.73	4.91	upf	Frosted Mini Wheats1.jpg	-92.59	-361.67	-0.45
193.64	5.74	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
203.48	4.92	non-upf	Baked Potato and Chicken1.jpg	-92.59	228.33	1.06
208.39	5.29	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
220.34	4.92	non-upf	Baked Sweet Potato1.jpg	-92.59	383.33	1.67
225.26	9.12	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
242.44	4.92	upf	Hot Dog1.jpg	-92.59	-413.67	0.33
247.36	3.89	auction	Hot Dog1.jpg	n/a	n/a	n/a
259.94	4.92	upf	Pop-Tarts1.jpg	-92.59	-452.67	-0.53
264.86	7.22	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
276.8	4.91	non-upf	Trail Mix with Peanuts1.jpg	-92.59	157.33	-0.97
281.71	8.27	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
302.06	4.92	non-upf	Oatmeal and Honey1.jpg	657.41	342.33	-0.39
306.97	3.52	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
314.34	4.92	upf	Peanut Butter and Jelly Sandwich1.jpg	-92.59	-70.67	-0.31
319.26	4.46	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
330.61	4.91	upf	Cheerios and Milk1.jpg	-92.59	153.33	-0.85
335.52	8.6	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
347.22	4.92	non-upf	Cheddar Cheese1.jpg	-92.59	354.33	-0.89
352.14	5.54	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
363.15	4.92	non-upf	Mini Cheese Wheels1.jpg	657.41	300.33	1.01
368.07	7.47	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
380.22	4.92	upf	Chicken Nuggets1.jpg	-92.59	-452.67	-0.46
385.14	3.77	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
400.92	4.92	upf	Fruit Chews1.jpg	-92.59	-452.67	0.79
405.84	2.86	auction	Fruit Chews1.jpg	n/a	n/a	n/a
417.85	4.92	non-upf	Buttered Pasta1.jpg	-92.59	-310.67	-1.77
422.76	3.7	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
437.16	4.91	non-upf	Popcorn1.jpg	-92.59	299.33	-1.35
442.07	4.92	auction	Popcorn1.jpg	n/a	n/a	n/a
453.68	4.91	upf	Grilled Cheese1.jpg	-92.59	-375.67	0.98
458.59	5.42	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
468.25	4.91	upf	Veggie Straws2.jpg	-92.59	130.33	-0.34
473.16	12.76	auction	Veggie Straws2.jpg	n/a	n/a	n/a
488.61	4.91	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	-92.59	336.33	1.35
493.52	5.19	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
