onset	duration	trial_type	food_name	frequency	healthy	wtp
4.63	4.8	upf	Hot Pocket1.jpg	-125	-246.93	0.89
9.43	6.9	auction	Hot Pocket1.jpg	n/a	n/a	n/a
23.29	4.84	non-upf	Harboiled Eggs1.jpg	125	158.07	0.27
28.13	3.71	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
37.28	4.85	non-upf	Mini Cheese Wheels1.jpg	-125	104.07	-1.66
42.13	10.29	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
56.56	4.84	upf	Chocolate Chip Cookies1.jpg	375	-235.93	0.63
61.4	5.88	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
73.73	4.84	upf	Animal Crackers1.jpg	-125	-92.93	0.12
78.56	7.2	auction	Animal Crackers1.jpg	n/a	n/a	n/a
95.75	4.85	non-upf	Mozzarella Cheese Sticks1.jpg	125	-140.93	-1.59
100.6	3.69	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
112.24	4.85	non-upf	Baked Sweet Potato1.jpg	375	292.07	0.62
117.1	8.15	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
131.82	4.84	upf	Deli Turkey and Mashed Potatoes1.jpg	-125	-121.93	1.45
136.66	5.18	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
152.07	4.84	upf	Fruit Chews1.jpg	-125	-267.93	0.55
156.91	4.46	auction	Fruit Chews1.jpg	n/a	n/a	n/a
171.25	4.85	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	125	231.07	2.2
176.1	4.63	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
188.47	4.84	non-upf	Bananas and Craisins1.jpg	125	255.07	-0.03
193.31	8.68	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
204.51	4.84	upf	Frosted Mini Wheats1.jpg	-125	-52.93	-1.06
209.35	4.55	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
220.5	4.85	upf	Hot Dog1.jpg	-125	-150.93	-0.41
225.35	8.12	auction	Hot Dog1.jpg	n/a	n/a	n/a
243.45	4.85	non-upf	Cheddar Cheese1.jpg	-125	-15.93	-1.7
248.31	3.75	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
260.96	4.86	non-upf	Popcorn1.jpg	125	-126.93	0.64
265.81	5.4	auction	Popcorn1.jpg	n/a	n/a	n/a
276.36	4.84	upf	Chex Mix2.jpg	-125	-109.93	-1.66
281.2	4.19	auction	Chex Mix2.jpg	n/a	n/a	n/a
294.3	4.84	upf	Peanut Butter and Jelly Sandwich1.jpg	-125	120.07	2
299.14	5.65	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
313.34	4.84	non-upf	Apples and Pecans1.jpg	375	194.07	-0.13
318.17	5.43	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
334.8	4.85	non-upf	Oatmeal and Honey1.jpg	-125	314.07	-1.33
339.65	4.53	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
348.12	4.84	upf	Cheerios and Milk1.jpg	-125	-63.93	-1.15
352.97	4.12	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
362.46	4.84	upf	Chicken Nuggets1.jpg	125	-158.93	1.97
367.3	9.45	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
384.98	4.86	non-upf	Pepper Jack Cheese1.jpg	125	39.07	-1.01
389.83	3.61	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
403.84	4.85	non-upf	Baked Potato and Chicken1.jpg	125	224.07	1.55
408.69	5.36	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
423.55	4.84	upf	Veggie Straws2.jpg	-125	-130.93	-0.31
428.39	3.56	auction	Veggie Straws2.jpg	n/a	n/a	n/a
438.86	4.85	upf	Grilled Cheese1.jpg	-125	-98.93	1
443.72	7.4	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
456.53	4.85	non-upf	Trail Mix with Peanuts1.jpg	-125	115.07	-1.36
461.38	3.76	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
475.18	4.84	non-upf	Buttered Pasta1.jpg	-125	81.07	-0.32
480.02	5.5	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
490.01	4.86	upf	Pop-Tarts1.jpg	-125	-111.93	-0.15
494.88	3.53	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
