onset	duration	trial_type	food_name	frequency	healthy	wtp
5.16	4.77	non-upf	Apples and Pecans1.jpg	330.36	396.57	1.33
9.93	8.89	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
23.97	4.83	upf	Peanut Butter and Jelly Sandwich1.jpg	-169.64	-54.43	0.01
28.8	4.62	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
36.93	4.83	upf	Grilled Cheese1.jpg	80.36	29.57	0.76
41.76	9.2	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
56.59	4.84	non-upf	Baked Sweet Potato1.jpg	80.36	211.57	-0.38
61.43	5.2	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
71.03	4.85	non-upf	Mozzarella Cheese Sticks1.jpg	80.36	-36.43	-0.06
75.88	10.51	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
91.08	4.85	upf	Chicken Nuggets1.jpg	-169.64	-13.43	-0.61
95.92	7.21	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
109.67	4.84	upf	Pop-Tarts1.jpg	-169.64	-403.43	0.26
114.51	8.03	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
127.99	4.86	non-upf	Cheddar Cheese1.jpg	330.36	201.57	-0.12
132.84	4.09	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
147.1	4.84	non-upf	Harboiled Eggs1.jpg	330.36	415.57	-0.68
151.94	5.63	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
161.71	4.83	upf	Frosted Mini Wheats1.jpg	-169.64	53.57	-1.57
166.55	8.57	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
184.75	4.83	upf	Chocolate Chip Cookies1.jpg	80.36	-339.43	0.92
189.58	5.26	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
201.19	4.82	non-upf	Bananas and Craisins1.jpg	80.36	73.57	-0.53
206.01	6.45	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
221.3	4.84	non-upf	Mini Cheese Wheels1.jpg	-169.64	-30.43	-0.86
226.14	6.62	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
239.25	4.84	upf	Animal Crackers1.jpg	-169.64	-176.43	-0.09
244.09	6.73	auction	Animal Crackers1.jpg	n/a	n/a	n/a
258.09	4.84	upf	Deli Turkey and Mashed Potatoes1.jpg	330.36	126.57	0.34
262.93	7.89	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
275.22	4.85	non-upf	Pepper Jack Cheese1.jpg	-169.64	-21.43	-0.87
280.07	5.68	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
293.01	4.85	non-upf	Popcorn1.jpg	80.36	-210.43	-0.18
297.86	5.86	auction	Popcorn1.jpg	n/a	n/a	n/a
308.42	4.84	upf	Cheerios and Milk1.jpg	-169.64	31.57	-0.36
313.26	11.07	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
333.88	4.84	upf	Hot Pocket1.jpg	-169.64	-271.43	-0.22
338.73	3.79	auction	Hot Pocket1.jpg	n/a	n/a	n/a
347.16	4.85	non-upf	Oatmeal and Honey1.jpg	80.36	169.57	0.76
352.01	4.3	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
362.26	4.84	non-upf	Buttered Pasta1.jpg	-169.64	-230.43	0.55
367.09	9.42	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
380.89	4.86	upf	Hot Dog1.jpg	-169.64	-369.43	0.13
385.75	4.29	auction	Hot Dog1.jpg	n/a	n/a	n/a
397.01	4.84	upf	Veggie Straws2.jpg	80.36	90.57	0.93
401.85	9.01	auction	Veggie Straws2.jpg	n/a	n/a	n/a
416.86	4.85	non-upf	Baked Potato and Chicken1.jpg	80.36	194.57	1.21
421.72	6.05	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
439.65	4.84	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	80.36	329.57	1.59
444.49	3.76	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
456.85	4.85	upf	Fruit Chews1.jpg	-169.64	-134.43	-0.82
461.7	5.85	auction	Fruit Chews1.jpg	n/a	n/a	n/a
474.91	4.85	upf	Chex Mix2.jpg	-169.64	-181.43	-0.98
479.76	8.68	auction	Chex Mix2.jpg	n/a	n/a	n/a
491.84	4.83	non-upf	Trail Mix with Peanuts1.jpg	80.36	148.57	-0.4
496.67	6.22	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
