onset	duration	trial_type	food_name	frequency	healthy	wtp
4.49	4.87	upf	Hot Pocket1.jpg	-116.07	-371.04	2.92
9.36	8.58	auction	Hot Pocket1.jpg	n/a	n/a	n/a
22.71	4.9	non-upf	Baked Sweet Potato1.jpg	-116.07	38.96	-0.2
27.61	8.45	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
42.72	4.92	non-upf	Harboiled Eggs1.jpg	-116.07	185.96	-0.12
47.64	8.47	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
59.97	4.92	upf	Peanut Butter and Jelly Sandwich1.jpg	-116.07	-149.04	-2.08
64.89	4.72	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
75.09	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	-116.07	-43.04	1.45
80.01	9.02	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
92.2	4.91	non-upf	Trail Mix with Peanuts1.jpg	-116.07	149.96	-2.08
97.11	5.09	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
108.8	4.92	non-upf	Pepper Jack Cheese1.jpg	-116.07	-14.04	-1.41
113.72	9.17	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
125.41	4.91	upf	Chex Mix2.jpg	133.93	43.96	-0.19
130.32	8.67	auction	Chex Mix2.jpg	n/a	n/a	n/a
143.63	4.91	upf	Veggie Straws2.jpg	133.93	137.96	0.42
148.54	9.56	auction	Veggie Straws2.jpg	n/a	n/a	n/a
162.96	4.91	non-upf	Buttered Pasta1.jpg	133.93	-74.04	1.68
167.87	6.12	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
179.9	4.92	non-upf	Cheddar Cheese1.jpg	133.93	-52.04	0.1
184.82	8.72	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
197.72	4.92	upf	Fruit Chews1.jpg	-116.07	-342.04	-1.55
202.64	9.92	auction	Fruit Chews1.jpg	n/a	n/a	n/a
215.51	4.91	upf	Grilled Cheese1.jpg	-116.07	-151.04	2.05
220.42	12.39	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
236.48	4.91	non-upf	Baked Potato and Chicken1.jpg	133.93	215.96	2.67
241.39	5.38	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
249.38	4.91	non-upf	Mini Cheese Wheels1.jpg	-116.07	109.96	-1.3
254.29	12	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
269.97	4.91	upf	Chicken Nuggets1.jpg	133.93	-10.04	1.67
274.89	6.1	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
289.66	4.91	upf	Chocolate Chip Cookies1.jpg	-116.07	-210.04	0.07
294.57	6.26	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
308.37	4.92	non-upf	Oatmeal and Honey1.jpg	-116.07	306.96	-1.47
313.29	5.14	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
321.68	4.91	non-upf	Apples and Pecans1.jpg	-116.07	290.96	1.24
326.59	11.08	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
343.52	4.92	upf	Pop-Tarts1.jpg	-116.07	-310.04	-0.87
348.44	10.12	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
361.44	4.91	upf	Animal Crackers1.jpg	-116.07	-206.04	-1.54
366.36	12.44	auction	Animal Crackers1.jpg	n/a	n/a	n/a
383.19	4.92	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	-116.07	272.96	1.05
388.11	7.31	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
399.77	4.91	non-upf	Popcorn1.jpg	-116.07	-125.04	-0.66
404.69	11.01	auction	Popcorn1.jpg	n/a	n/a	n/a
421.26	4.91	upf	Frosted Mini Wheats1.jpg	633.93	93.96	-0.79
426.17	5.98	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
441.15	4.91	upf	Cheerios and Milk1.jpg	633.93	46.96	-0.43
446.07	6.22	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
455.93	4.91	non-upf	Bananas and Craisins1.jpg	-116.07	381.96	-0.46
460.84	4.42	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
473.6	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	-116.07	-31.04	-1.28
478.52	7.44	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
488.47	4.92	upf	Hot Dog1.jpg	133.93	-188.04	1.15
493.39	5.94	auction	Hot Dog1.jpg	n/a	n/a	n/a
