onset	duration	trial_type	food_name	frequency	healthy	wtp
2.14	4.88	upf	Fruit Chews1.jpg	-169.64	-285.86	-2.88
7.01	10.1	auction	Fruit Chews1.jpg	n/a	n/a	n/a
21.17	4.91	non-upf	Harboiled Eggs1.jpg	330.36	230.14	0.59
26.08	4.15	auction	Harboiled Eggs1.jpg	n/a	n/a	n/a
35.9	4.91	non-upf	Cheddar Cheese1.jpg	830.36	254.14	1.23
40.81	9.59	auction	Cheddar Cheese1.jpg	n/a	n/a	n/a
56	4.92	upf	Hot Pocket1.jpg	-169.64	-283.86	0.27
60.92	6.88	auction	Hot Pocket1.jpg	n/a	n/a	n/a
79.4	4.91	upf	Animal Crackers1.jpg	-169.64	-403.86	-2.55
84.31	4.29	auction	Animal Crackers1.jpg	n/a	n/a	n/a
97.02	4.92	non-upf	Mini Cheese Wheels1.jpg	80.36	236.14	0.57
101.94	5.18	auction	Mini Cheese Wheels1.jpg	n/a	n/a	n/a
115.06	4.92	non-upf	Mozzarella Cheese Sticks1.jpg	80.36	231.14	1.67
119.98	6.75	auction	Mozzarella Cheese Sticks1.jpg	n/a	n/a	n/a
131.14	4.92	upf	Chicken Nuggets1.jpg	-169.64	-353.86	1.28
136.06	4.63	auction	Chicken Nuggets1.jpg	n/a	n/a	n/a
149.98	4.92	upf	Hot Dog1.jpg	-169.64	-318.86	2.12
154.89	5.19	auction	Hot Dog1.jpg	n/a	n/a	n/a
164.55	4.91	non-upf	Popcorn1.jpg	-169.64	100.14	-1.11
169.46	2.79	auction	Popcorn1.jpg	n/a	n/a	n/a
179.79	4.91	non-upf	Bananas and Craisins1.jpg	80.36	306.14	0.49
184.69	8.24	auction	Bananas and Craisins1.jpg	n/a	n/a	n/a
201.76	4.87	upf	Cheerios and Milk1.jpg	-169.64	137.14	-0.97
206.63	3.81	auction	Cheerios and Milk1.jpg	n/a	n/a	n/a
214.55	4.91	upf	Grilled Cheese1.jpg	-169.64	-245.86	-0.95
219.46	10.54	auction	Grilled Cheese1.jpg	n/a	n/a	n/a
234.55	4.91	non-upf	Buttered Pasta1.jpg	-169.64	-411.86	-0.94
239.46	4.1	auction	Buttered Pasta1.jpg	n/a	n/a	n/a
252.78	4.91	non-upf	Apples and Pecans1.jpg	580.36	290.14	0.38
257.69	6.62	auction	Apples and Pecans1.jpg	n/a	n/a	n/a
268.25	4.91	upf	Veggie Straws2.jpg	-169.64	-141.86	-0.78
273.16	8.29	auction	Veggie Straws2.jpg	n/a	n/a	n/a
292.2	4.91	upf	Frosted Mini Wheats1.jpg	-169.64	183.14	-2.88
297.11	4.8	auction	Frosted Mini Wheats1.jpg	n/a	n/a	n/a
307.33	4.9	non-upf	Trail Mix with Peanuts1.jpg	-169.64	186.14	-2.27
312.23	8.73	auction	Trail Mix with Peanuts1.jpg	n/a	n/a	n/a
329.6	4.92	non-upf	Fried Egg, Hashbrowns, and Avocado1.jpg	80.36	342.14	2.12
334.51	5.78	auction	Fried Egg, Hashbrowns, and Avocado1.jpg	n/a	n/a	n/a
344.44	4.92	upf	Deli Turkey and Mashed Potatoes1.jpg	330.36	20.14	1.53
349.36	4.47	auction	Deli Turkey and Mashed Potatoes1.jpg	n/a	n/a	n/a
361.53	4.91	upf	Peanut Butter and Jelly Sandwich1.jpg	-169.64	-111.86	2.12
366.44	7.29	auction	Peanut Butter and Jelly Sandwich1.jpg	n/a	n/a	n/a
382.14	4.92	non-upf	Pepper Jack Cheese1.jpg	-169.64	286.14	-2.88
387.06	4.71	auction	Pepper Jack Cheese1.jpg	n/a	n/a	n/a
402.61	4.92	non-upf	Baked Sweet Potato1.jpg	-169.64	132.14	-0.78
407.52	4.29	auction	Baked Sweet Potato1.jpg	n/a	n/a	n/a
417.46	4.91	upf	Chex Mix2.jpg	80.36	-114.86	2.12
422.37	8.47	auction	Chex Mix2.jpg	n/a	n/a	n/a
440.49	4.92	upf	Pop-Tarts1.jpg	-169.64	-362.86	-1.87
445.41	6.74	auction	Pop-Tarts1.jpg	n/a	n/a	n/a
458.89	4.92	non-upf	Oatmeal and Honey1.jpg	80.36	197.14	0.36
463.81	2.64	auction	Oatmeal and Honey1.jpg	n/a	n/a	n/a
472.7	4.87	non-upf	Baked Potato and Chicken1.jpg	330.36	267.14	2.12
477.58	8.05	auction	Baked Potato and Chicken1.jpg	n/a	n/a	n/a
492.99	4.87	upf	Chocolate Chip Cookies1.jpg	-169.64	-363.86	1.87
497.86	3.95	auction	Chocolate Chip Cookies1.jpg	n/a	n/a	n/a
